jezyk	pozytywne	negatywne	wszystkie	dg	db	woe_val	ddiff	iv
da	394	2270	2664	0.00849174533385059701	0.01020770659363884505	-0.18404842896020855505	-0.00171596125978824804	0.000315819974020607346419132439459394602
de	1206	5607	6813	0.02599249967671020303	0.02521348496499251285	0.03042905338076421387	0.00077901471171769018	0.0000237046802472582398251505187599187966
el	104	529	633	0.002241475925686452	0.00237880034715195992	-0.0594617604996207283	-0.00013732442146550792	0.000008165551859931007683112420319818136
en	24101	129029	153130	0.51944049312470365102	0.5802159357139323953	-0.11064807966908880685	-0.06077544258922874428	0.006724686013537115013971973292028962318
es	1547	7183	8730	0.03334195439458597353	0.03230042134894617796	0.03173622071557050377	0.00104153304563979557	0.0000330543226189849191261163179847142989
fi	3394	10283	13677	0.07314970472865209707	0.04624046119047940247	0.45865289278228700299	0.0269092435381726946	0.012342002391365970253927924119686556854
fr	3295	15204	18499	0.07101599206862364757	0.06836915024215198241	0.03798338904477421966	0.00264684182647166516	0.0001005360228348540325937451786398090456
it	755	4261	5016	0.01627225311435837752	0.01916080960153969988	-0.16340563203358134141	-0.00288855648718132236	0.0004720063984525654804096377947464269276
nb	5207	17948	23155	0.11222466485624380361	0.08070833389543171404	0.32966095828433110119	0.03151633096081208957	0.0103897038661474469931842002241030135883
nl	1128	4372	5500	0.02431139273244536402	0.01965995296360750244	0.21236135497888101483	0.00465143976883786158	0.0009877860519130613729340058731574672314
pl	569	2318	2887	0.01226345963188068451	0.01042355237183032723	0.1625561824439398908	0.00183990726005035728	0.000299088300244675435281587773384185024
pt	278	1740	2018	0.00599163757058493901	0.00782440945944122924	-0.26688350630063165645	-0.00183277188885629023	0.0004891365879471983155778082078468514835
ro	43	98	141	0.0009267640846588215	0.00044068513047427613	0.74336840924029649024	0.00048607895418454537	0.0003613357389373524507552923436610421888
ru	211	1713	1924	0.0045476098107677055	0.00770299620920852051	-0.52700759263074742504	-0.00315538639844081501	0.0016629125896620983187603394583964818504
sv	4161	19813	23974	0.08968058968058968059	0.08909484173557992814	0.00655291430598836022	0.00058574794500975245	0.000003838356088557690161908184083627539
tr	5	13	18	0.0001077632656580025	0.000058458231593526425369	0.611624327189869625615047	0.000049305034064476074631	0.000030156158286758782112546359734913799648572657
